feature,coef,odds_ratio
grade_C,0.46622410565953465,1.5939641757172407
grade_D,0.44312640417909044,1.5575692051556247
grade_E,0.3355621072152929,1.3987263984907186
grade_B,0.3052483518907294,1.3569619652316023
int_rate,0.21793374679177765,1.2435046787154231
grade_F,0.2107063370718574,1.2345497603261293
term_months,0.15908905264461343,1.1724423511239273
grade_G,0.12152258638696505,1.1292148705211604
loan_amnt,0.10634805947738499,1.11220892400168
annual_inc_clean,-0.18541266881577,0.8307613837884749
