bin,n,pd_mean,default_rate
"(0.0235, 0.0614]",5000,0.05249410311616499,0.0488
"(0.0614, 0.105]",5000,0.07417877926170749,0.0752
"(0.105, 0.13]",5001,0.12010322040101121,0.11017796440711858
"(0.13, 0.146]",4999,0.13752329802561072,0.13882776555311063
"(0.146, 0.186]",5000,0.16395397644109186,0.16
"(0.186, 0.21]",5000,0.19892569109531302,0.202
"(0.21, 0.248]",5000,0.22522770990578947,0.2336
"(0.248, 0.292]",5000,0.2726638178595846,0.2778
"(0.292, 0.366]",5000,0.32128810276358377,0.3236
"(0.366, 0.647]",5000,0.429455460922817,0.4258
